data_year,victim_id,injury_id
2023,184862058,2
2023,184862058,3
2023,184861934,5
2023,195112974,5
2023,195113009,5
2023,186753109,5
2023,188744270,5
2023,188744608,4
2023,188743976,4
2023,195113052,4
2023,195113088,4
2023,188744259,4
2023,196833476,5
2023,196833324,4
2023,188744169,5
2023,188744107,4
2023,196833192,4
2023,196833356,4
2023,196833357,4
2023,196833410,5
2023,188744459,2
2023,188745346,5
2023,188744236,6
2023,188744631,4
2023,188744668,2
2023,188745118,4
2023,195112992,4
2023,195112993,4
2023,188744375,5
2023,188744345,5
2023,188744970,5
2023,188744361,5
2023,188744385,5
2023,207586872,5
2023,188744372,5
2023,188744390,5
2023,188744433,4
2023,190251729,4
2023,188744899,5
2023,190251617,5
2023,190251618,4
2023,190251898,5
2023,198806796,4
2023,198806797,5
2023,190251577,5
2023,190251994,4
2023,190252057,4
2023,190252069,5
2023,190252391,4
2023,190252392,4
2023,195113013,5
2023,195113050,5
2023,195113000,5
2023,195113047,4
2023,195113130,4
2023,190251660,5
2023,190251919,5
2023,190251688,5
2023,186753415,5
2023,195113055,5
2023,190251798,5
2023,190251739,5
2023,190251824,5
2023,190251941,5
2023,195113195,4
2023,190252129,5
2023,190252045,4
2023,190251825,5
2023,190251860,5
2023,195113036,4
2023,190251913,5
2023,190252036,5
2023,207586820,5
2023,190251937,5
2023,196833208,5
2023,195113199,5
2023,195113108,2
2023,195113109,6
2023,195113140,5
2023,188744693,5
2023,195113182,5
2023,188744787,5
2023,188744846,5
2023,191750423,6
2023,188744709,5
2023,195113160,5
2023,188744782,5
2023,209156052,5
2023,190252164,5
2023,190252274,5
2023,190252354,5
2023,192850382,5
2023,190252241,5
2023,190252258,5
2023,190252278,5
2023,190252236,5
2023,190252249,4
2023,190252578,2
2023,190252594,4
2023,207586825,4
2023,207587154,5
2023,190252317,4
2023,196833365,4
2023,195113083,5
2023,195113106,5
2023,191750354,5
2023,196833407,5
2023,192850312,6
2023,207586864,5
2023,207586871,5
2023,201343448,5
2023,196833402,5
2023,207586990,5
2023,196833437,5
2023,196833349,5
2023,192850413,5
2023,192850559,5
2023,195113104,5
2023,191750435,5
2023,191751133,4
2023,191750478,4
2023,196833478,4
2023,191750539,4
2023,191750596,5
2023,209156277,4
2023,196833341,4
2023,209156113,5
2023,196833379,5
2023,205068649,5
2023,207587159,3
2023,207587159,4
2023,196833692,5
2023,209156232,5
2023,207587046,4
2023,196833362,4
2023,191750799,4
2023,196833494,5
2023,209156253,4
2023,196833549,5
2023,207587084,4
2023,207587090,5
2023,207587218,4
2023,191750998,4
2023,191751030,4
2023,198806732,5
2023,195113246,4
2023,192850681,5
2023,196833515,4
2023,198806716,5
2023,195113164,2
2023,195113164,4
2023,195113153,5
2023,207587073,5
2023,209156327,5
2023,207587135,5
2023,196833430,5
2023,192850359,5
2023,196833552,5
2023,195113255,5
2023,195113227,5
2023,209156139,4
2023,209156139,6
2023,195113290,4
2023,196833769,5
2023,195113201,5
2023,195113296,5
2023,195113171,5
2023,195113217,5
2023,195113324,4
2023,196833599,5
2023,192850643,4
2023,198806689,5
2023,207587126,5
2023,196833541,5
2023,209156337,5
2023,192850673,1
2023,196833733,5
2023,192850521,5
2023,207587128,5
2023,209156390,5
2023,207587153,5
2023,207587180,5
2023,196833582,5
2023,196833551,4
2023,209156200,4
2023,192850646,6
2023,195113253,5
2023,195113187,5
2023,195113209,5
2023,195113210,5
2023,195113307,5
2023,195113337,4
2023,195113170,5
2023,195113202,5
2023,195113261,4
2023,195113279,5
2023,196833627,5
2023,196833678,5
2023,195113426,2
2023,195113156,5
2023,195113222,4
2023,195113224,5
2023,195113339,5
2023,196833583,5
2023,196833818,6
2023,195113190,4
2023,198806783,4
2023,196833870,5
2023,195113221,4
2023,195113230,5
2023,196833852,4
2023,195113327,4
2023,195113381,4
2023,209156309,5
2023,207587227,5
2023,196833645,4
2023,207587258,4
2023,196833771,5
2023,209156360,5
2023,202715556,2
2023,196833695,4
2023,196833766,5
2023,198806745,4
2023,207587260,4
2023,209156423,5
2023,209156315,4
2023,196833693,5
2023,209156400,5
2023,209156442,4
2023,209156480,5
2023,209156513,6
2023,209156335,5
2023,198806946,5
2023,196833651,4
2023,198806970,5
2023,196833807,5
2023,207587193,4
2023,198806994,5
2023,196833921,5
2023,209156363,5
2023,209156385,5
2023,209156567,5
2023,196833883,5
2023,198806768,4
2023,196833696,5
2023,196833727,4
2023,209156406,4
2023,207587205,5
2023,207587236,5
2023,209156467,5
2023,209156510,4
2023,209156554,4
2023,209156576,4
2023,209156486,5
2023,202715304,5
2023,198806951,4
2023,209156514,2
2023,209156566,4
2023,198806929,4
2023,209156596,4
2023,201343702,5
2023,207587389,5
2023,209156541,4
2023,207587412,5
2023,209156624,5
2023,209156669,5
2023,209156693,5
2023,209156599,5
2023,209156721,5
2023,209156617,4
2023,207587308,5
2023,209156738,5
2023,198807333,5
2023,198807340,4
2023,209156736,5
2023,201343402,5
2023,201343490,5
2023,201343488,3
2023,201343538,5
2023,201343568,4
2023,201343665,5
2023,201343394,5
2023,201343509,5
2023,202715552,5
2023,201343357,5
2023,201343473,5
2023,201343657,5
2023,201343693,5
2023,201343347,5
2023,201343420,4
2023,201343442,4
2023,201343565,5
2023,202715492,5
2023,202715465,5
2023,207587324,5
2023,202715834,5
2023,202715900,5
2023,202715901,5
2023,209156651,5
2023,209156640,4
2023,209156691,5
2023,209156749,5
2023,209156786,5
2023,207587345,4
2023,209156751,5
2023,207587390,5
2023,209156665,5
2023,209156716,4
2023,202715781,4
2023,202715781,6
2023,207587477,5
2023,207587493,5
2023,207587516,4
2023,207587374,4
2023,202715968,5
2023,209156949,4
2023,209156724,4
2023,209156788,4
2023,209156904,2
2023,209156904,4
2023,202715949,5
2023,209156951,5
2023,207587350,4
2023,209156779,4
2023,207587422,4
2023,207587423,4
2023,207587554,5
2023,209156982,5
2023,207587450,6
2023,207587555,5
2023,205068498,7
2023,205068498,8
2023,205068521,4
2023,207587599,4
2023,205068645,5
2023,205068491,5
2023,207587463,4
2023,205068545,5
2023,207587607,5
2023,205068600,4
2023,209156770,5
2023,207587505,5
2023,207587553,5
2023,207587616,5
2023,207587678,5
2023,207587465,5
2023,207587476,5
2023,207587561,5
2023,207587705,4
2023,207587565,4
2023,207587684,5
2023,207587671,4
2023,205068818,5
2023,207587508,5
2023,207587639,5
2023,207587593,5
2023,205068748,4
2023,207587691,4
2023,207587693,5
2023,207587694,5
2023,207587737,5
2023,207587547,5
2023,186743454,5
2023,186743391,5
2023,190242486,5
2023,190242291,5
2023,207578948,4
2023,207578950,4
2023,192843410,5
2023,192843469,5
2023,192843517,4
2023,192843518,3
2023,192843518,8
2023,195110680,4
2023,195110684,4
2023,195110315,4
2023,195110572,4
2023,195110572,8
2023,195110574,2
2023,195110574,4
2023,195110574,6
2023,195110631,4
2023,195110363,4
2023,195110452,5
2023,195110464,5
2023,201338724,5
2023,201338701,5
2023,201338702,5
2023,201338703,5
2023,201338704,5
2023,202711463,5
2023,205065765,3
2023,205065811,4
2023,186738297,5
2023,190235970,5
2023,195107638,5
2023,195107639,5
2023,196822443,5
2023,195107617,5
2023,196822228,2
2023,196792780,5
2023,205068191,5
2023,191714091,5
2023,184826454,5
2023,184826456,4
2023,188703233,4
2023,184826517,5
2023,184826542,5
2023,188702424,5
2023,184826551,5
2023,190219293,5
2023,195100143,5
2023,190219243,5
2023,201322084,5
2023,186718919,4
