data_year,groupb_arrestee_id,weapon_code,weapon_id
2023,48269994,01,51
2023,48269999,01,51
2023,48269996,01,51
2023,48269930,01,51
2023,48269945,01,51
2023,48269908,01,51
2023,48269855,01,51
2023,48596673,01,51
2023,48596718,01,51
2023,48596682,01,51
2023,49510375,01,51
2023,48974263,01,51
2023,48974165,01,51
2023,48974224,01,51
2023,48974146,01,51
2023,48974120,01,51
2023,48974193,01,51
2023,48974162,01,51
2023,52157729,01,51
2023,50110911,01,51
2023,50110932,01,51
2023,50110886,01,51
2023,50110953,01,51
2023,50419110,01,51
2023,50419125,01,51
2023,50419111,01,51
2023,50419054,01,51
2023,50419103,01,51
2023,48974119,01,51
2023,48974173,01,51
2023,48974197,01,51
2023,48974265,01,51
2023,48974231,01,51
2023,48974147,01,51
2023,48974144,01,51
2023,48974218,01,51
2023,49212496,01,51
2023,49212486,01,51
2023,49212366,01,51
2023,49212453,01,51
2023,49212401,01,51
2023,50110889,01,51
2023,50110925,01,51
2023,50110909,01,51
2023,50110897,01,51
2023,50110929,01,51
2023,48974122,01,51
2023,48974225,01,51
2023,48974118,01,51
2023,48974129,01,51
2023,48974131,01,51
2023,48974128,01,51
2023,48974130,01,51
2023,49212415,01,51
2023,49212512,01,51
2023,49212537,01,51
2023,49212446,01,51
2023,50110904,01,51
2023,50110921,01,51
2023,50110912,01,51
2023,50110920,01,51
2023,50110956,01,51
2023,50419121,01,51
2023,49510343,01,51
2023,49510517,01,51
2023,49510523,01,51
2023,49510374,01,51
2023,49510568,01,51
2023,49510538,01,51
2023,49510556,01,51
2023,49510503,01,51
2023,49212382,01,51
2023,49212330,01,51
2023,49212333,01,51
2023,49212426,11,1
2023,50110918,01,51
2023,50110954,01,51
2023,50110946,01,51
2023,50110926,01,51
2023,50110924,01,51
2023,50419118,01,51
2023,50419075,01,51
2023,52453107,01,51
2023,49510421,01,51
2023,49510365,01,51
2023,49510397,01,51
2023,49510320,01,51
2023,49510348,01,51
2023,49510301,01,51
2023,49510383,01,51
2023,49510559,01,51
2023,49510358,01,51
2023,49510389,01,51
2023,49510331,01,51
2023,49510384,01,51
2023,52157682,01,51
2023,52157710,01,51
2023,52157671,01,51
2023,52157759,01,51
2023,50110942,01,51
2023,50110902,16,52
2023,50110907,01,51
2023,50419115,01,51
2023,50419090,01,51
2023,50419123,01,51
2023,50419086,01,51
2023,52453092,01,51
2023,52453102,01,51
2023,52453076,01,51
2023,52453083,01,51
2023,52453065,01,51
2023,49725143,01,51
2023,49725146,01,51
2023,49725151,01,51
2023,49725149,01,51
2023,49725160,01,51
2023,49725152,01,51
2023,49725145,01,51
2023,52157770,01,51
2023,50110939,01,51
2023,50110914,01,51
2023,50110922,16,52
2023,50110949,01,51
2023,50110948,01,51
