data_year,criminal_act_id,offense_id
2023,9,199215276
2023,9,209503952
2023,9,209503984
2023,9,201118572
2023,9,203120192
2023,9,203120519
2023,9,211229018
2023,6,203120068
2023,6,203120326
2023,8,203120326
2023,9,203120375
2023,12,203120591
2023,9,203120158
2023,6,206133602
2023,9,203120308
2023,9,203120796
2023,9,204625003
2023,9,204625298
2023,9,209504018
2023,9,209503976
2023,9,209504020
2023,9,209504094
2023,9,204624589
2023,6,204624837
2023,6,206132781
2023,9,204624663
2023,9,204624749
2023,9,204624873
2023,9,204625058
2023,8,204624969
2023,9,204624980
2023,9,209504007
2023,9,204624869
2023,9,209504072
2023,9,203120587
2023,6,206132968
2023,9,203120603
2023,8,204625256
2023,9,204625261
2023,3,223616601
2023,3,223616602
2023,9,207233771
2023,6,211229231
2023,6,209504330
2023,9,204625168
2023,9,204625520
2023,9,222031872
2023,9,209504069
2023,9,211229101
2023,9,207233710
2023,9,222031571
2023,9,207233803
2023,9,207233942
2023,6,206132980
2023,9,206132994
2023,9,206133672
2023,9,206133038
2023,9,206133086
2023,9,211229035
2023,6,211229309
2023,6,206133309
2023,9,211229380
2023,9,211229055
2023,12,206133411
2023,8,206133395
2023,9,222031963
2023,9,211229208
2023,6,223616795
2023,6,207233827
2023,6,209504201
2023,6,207234058
2023,9,222031843
2023,5,211229406
2023,9,211229269
2023,9,211229246
2023,8,209504192
2023,6,209504218
2023,6,209504318
2023,6,209504348
2023,6,209504349
2023,3,209504208
2023,1,211229293
2023,6,209504216
2023,9,209504344
2023,8,222031921
2023,9,222031947
2023,9,211229333
2023,9,222031976
2023,9,223616825
2023,9,217152492
2023,6,211229482
2023,9,223616890
2023,9,223616779
2023,9,223616910
2023,9,223616949
2023,9,223616982
2023,3,211229334
2023,6,215778675
2023,9,211229339
2023,6,223616978
2023,9,222031912
2023,9,213215903
2023,6,213215922
2023,6,223616935
2023,9,222031956
2023,9,223617025
2023,12,223616985
2023,3,223617108
2023,9,222032101
2023,9,223617145
2023,6,223617033
2023,6,217152366
2023,9,222032031
2023,6,215778486
2023,3,215778526
2023,9,215778564
2023,9,215778581
2023,9,217152486
2023,9,215778440
2023,9,215778516
2023,9,217152402
2023,6,217152691
2023,9,223617117
2023,9,223617169
2023,9,222032102
2023,6,223617207
2023,9,223617142
2023,9,223617191
2023,9,222032202
2023,6,223617178
2023,9,222032222
2023,1,223617297
2023,9,222032087
2023,9,217152874
2023,9,223617424
2023,9,223617253
2023,9,219505873
2023,9,222032307
2023,9,223617244
2023,9,222032214
2023,9,222032264
2023,6,223617376
2023,9,222032217
2023,8,222032339
2023,3,223617399
2023,4,223617399
2023,6,204615469
2023,1,207226961
2023,2,217148752
2023,6,213206149
2023,6,213206150
2023,8,199201229
2023,8,199201343
2023,6,203097919
2023,12,203097973
2023,6,207222887
2023,8,209499637
2023,8,209498669
2023,6,211218087
2023,6,211218147
2023,8,211218185
2023,14,209498741
2023,6,206100651
2023,6,211188971
2023,9,211189000
2023,6,223570196
2023,6,223570197
2023,8,211188930
2023,9,211188954
2023,8,217132773
2023,9,221986603
2023,6,219499518
2023,9,215766720
2023,9,211217776
2023,1,211217777
2023,4,211217777
