data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,53578860,,51
2023,50532935,,51
2023,53578910,,51
2023,53578911,,51
2023,53578912,,51
2023,51522816,,51
2023,51522895,,51
2023,53578863,,51
2023,53578864,,51
2023,53578871,,51
2023,51522814,,51
2023,53578917,,51
2023,53578882,,51
2023,51522795,,51
2023,51522787,,51
2023,53578889,,51
2023,53578890,,51
2023,51522848,,51
2023,51522858,,51
2023,51522916,,51
2023,52272772,,51
2023,52272773,,51
2023,51522900,,51
2023,51523006,,51
2023,53129473,,3
2023,56830005,,51
2023,51522844,,51
2023,51868426,,51
2023,51522958,,51
2023,51522959,,51
2023,51868465,,51
2023,54105578,,51
2023,51868489,,51
2023,51868513,,51
2023,51868588,,51
2023,51868589,,51
2023,53129511,,51
2023,51868467,,51
2023,52272522,,51
2023,51868447,,51
2023,53129534,,51
2023,51868502,,51
2023,51868503,,51
2023,56829985,,51
2023,56829988,,51
2023,53129537,,51
2023,53129504,,51
2023,51522913,,51
2023,51522940,,51
2023,53129524,,51
2023,53129567,,51
2023,51868579,,51
2023,51868580,,51
2023,57268048,,3
2023,53578926,,52
2023,53129595,,3
2023,51868552,,51
2023,56829996,,51
2023,56830065,,51
2023,51868571,,51
2023,52272561,,51
2023,53578881,,51
2023,56830021,,51
2023,56830020,,51
2023,52564840,,51
2023,52564841,,51
2023,52272584,,3
2023,52272791,,51
2023,53578918,,51
2023,53129512,,51
2023,57268062,,51
2023,53578934,,51
2023,56164706,,51
2023,56830066,,51
2023,52272704,,51
2023,52272707,,51
2023,53578920,,51
2023,56830071,,51
2023,52272763,,51
2023,53129525,,51
2023,57268103,,3
2023,52564790,,51
2023,57268053,,51
2023,52564812,,51
2023,53129556,,51
2023,53129554,,51
2023,52564800,,51
2023,53578972,,51
2023,53578973,,51
2023,52564862,,51
2023,52564833,,51
2023,52564856,,51
2023,53129515,,51
2023,53129544,,3
2023,53129560,,51
2023,53129541,,51
2023,53129542,,51
2023,53578951,,51
2023,53129562,,51
2023,53129568,,51
2023,53129620,,9
2023,53129621,,9
2023,53129547,,51
2023,53129587,,51
2023,53129591,,51
2023,53129601,,3
2023,53129602,,5
2023,53129532,,51
2023,53129555,,51
2023,54105573,,51
2023,53578965,,51
2023,53578966,,51
2023,53129545,,51
2023,53129546,,51
2023,53129559,,51
2023,53578968,,51
2023,53129584,,51
2023,53129599,,51
2023,53578937,,51
2023,53578956,,51
2023,54105597,,51
2023,53578957,,51
2023,56830086,,51
2023,53578945,,52
2023,57268137,,51
2023,57268106,,51
2023,53578939,,51
2023,55064315,,3
2023,55064316,,3
2023,53578941,,51
2023,57268169,,51
2023,54105565,,51
2023,57268170,,51
2023,54105569,,51
2023,54105574,,51
2023,57268154,,51
2023,57268167,,51
2023,57268125,,51
2023,56830076,,51
2023,56830081,,3
2023,57268189,,51
2023,56830102,,51
2023,57268226,,51
2023,57268233,,51
2023,57268231,,51
2023,57268248,,51
2023,57268208,,51
2023,57268255,,51
2023,57268193,,51
2023,55064297,,51
2023,55534005,,51
2023,57268197,,51
2023,57268223,,51
2023,57268297,,51
2023,54105791,,51
2023,55064273,,51
2023,55064285,,51
2023,55064294,,51
2023,55064305,,51
2023,55064290,,51
2023,55064319,,51
2023,55064270,,51
2023,55064282,,51
2023,55533991,,51
2023,55534021,,51
2023,55534119,,51
2023,56830112,,3
2023,57268277,,9
2023,57268268,,51
2023,55534128,,51
2023,57268257,,3
2023,57268258,,3
2023,56830141,,51
2023,57268343,,51
2023,57268271,,51
2023,57268326,,51
2023,56830120,,51
2023,56830122,,51
2023,56830125,,51
2023,56830152,,51
2023,56830118,,51
2023,56164651,,51
2023,56164673,,51
2023,56164692,,51
2023,56830167,,51
2023,56830175,,51
2023,56830153,,3
2023,56830139,,51
2023,56830156,,51
2023,56830163,,51
2023,56830176,,51
2023,51865903,,51
2023,50531272,,51
2023,50989260,,51
2023,51519557,,51
2023,53129004,,51
2023,52563020,,51
2023,51865916,,51
2023,51865881,,51
2023,51865883,,51
