data_year,weapon_id,offense_id,nibrs_weapon_id
2023,41,209466493,
2023,39,209466493,
2023,41,199186423,
2023,37,199186423,
2023,3,209466524,
2023,41,199186435,
2023,41,199186457,
2023,41,199186468,
2023,3,199186488,
2023,3,204595040,
2023,38,223569987,
2023,3,199186653,
2023,41,199187184,
2023,3,199187233,
2023,41,199186557,
2023,41,199186627,
2023,21,209466561,
2023,41,199186663,
2023,41,201087930,
2023,41,209466507,
2023,3,203083640,
2023,41,199186644,
2023,41,207206710,
2023,41,199186722,
2023,41,199186751,
2023,41,199186763,
2023,1,221984293,
2023,41,199186970,
2023,41,199186734,
2023,41,199187004,
2023,3,199187034,
2023,41,199186814,
2023,3,219470823,
2023,41,199186822,
2023,3,203084486,
2023,41,199186831,
2023,42,201087886,
2023,41,199186840,
2023,3,206100953,
2023,41,201088245,
2023,1,206100861,
2023,41,204595332,
2023,41,199186943,
2023,3,199186947,
2023,41,199186953,
2023,41,203084614,
2023,41,199186997,
2023,41,199187056,
2023,41,199187651,
2023,1,215736095,
2023,41,203083812,
2023,41,199187071,
2023,41,203083857,
2023,38,203083857,
2023,41,201087937,
2023,3,207207409,
2023,3,207207412,
2023,41,199187615,
2023,38,199187310,
2023,41,199187671,
2023,41,199187345,
2023,41,199187442,
2023,38,201088250,
2023,41,203083757,
2023,41,199188544,
2023,3,223570004,
2023,41,199187490,
2023,41,201087963,
2023,41,199187899,
2023,38,199187522,
2023,41,203083894,
2023,21,199187567,
2023,5,204595472,
2023,41,199187605,
2023,42,199187641,
2023,41,199187648,
2023,41,199187690,
2023,3,209466587,
2023,41,199187890,
2023,3,199187905,
2023,21,209466614,
2023,41,201088504,
2023,41,204595288,
2023,38,199188397,
2023,41,201088570,
2023,38,199187886,
2023,41,204594817,
2023,41,199187864,
2023,41,201088012,
2023,41,199188026,
2023,3,201088083,
2023,3,203084520,
2023,41,199188196,
2023,41,201088116,
2023,41,199188234,
2023,41,199188264,
2023,38,199188264,
2023,3,223569922,
2023,1,199188336,
2023,41,199188693,
2023,41,201088124,
2023,41,203083850,
2023,41,206100840,
2023,41,211188587,
2023,41,203084093,
2023,41,203084323,
2023,41,203084324,
2023,41,199188501,
2023,41,221984244,
2023,41,199188491,
2023,41,199189038,
2023,41,199188665,
2023,3,199188678,
2023,3,199188688,
2023,41,199188702,
2023,41,199188713,
2023,41,199188714,
2023,41,199188719,
2023,41,203084225,
2023,41,199188705,
2023,41,201088138,
2023,41,199188727,
2023,3,199188736,
2023,41,204594918,
2023,31,204595106,
2023,41,199188858,
2023,41,199188871,
2023,41,209466552,
2023,41,199188954,
2023,41,203084336,
2023,41,199188950,
2023,38,199188960,
2023,41,199189052,
2023,3,219470385,
2023,3,219470387,
2023,41,199189177,
2023,31,221984297,
2023,3,199189209,
2023,38,199189230,
2023,41,201088294,
2023,41,219470419,
2023,1,204595217,
2023,21,203084249,
2023,41,201088295,
2023,41,199189368,
2023,3,213179543,
2023,41,213179543,
2023,41,213179544,
2023,3,215735966,
2023,41,207207196,
2023,41,199189399,
2023,21,223570000,
2023,3,223570044,
2023,41,199189430,
2023,21,199189443,
2023,41,203084342,
2023,41,203084343,
2023,41,203084344,
2023,41,199189605,
2023,41,201088440,
2023,41,201088458,
2023,41,207206887,
2023,3,217130789,
2023,41,199189547,
2023,41,199189548,
2023,41,203083969,
2023,41,199189684,
2023,41,199189633,
2023,41,199189654,
2023,3,219470377,
2023,38,199189696,
2023,41,199189701,
2023,3,199189736,
2023,41,199189740,
2023,41,206101347,
2023,39,201088524,
2023,41,199189794,
2023,41,201088583,
2023,41,199189744,
2023,41,199189796,
2023,41,203084238,
2023,3,199189806,
2023,41,206100923,
2023,41,199189807,
2023,41,201088572,
2023,38,201088573,
2023,41,199189847,
2023,38,209466647,
2023,41,199189860,
2023,3,206101171,
2023,41,207207088,
2023,21,201088577,
2023,41,199189896,
2023,3,206101084,
2023,39,199189971,
2023,1,201088678,
2023,38,199190374,
2023,21,204595132,
2023,1,206100850,
2023,41,206100850,
2023,41,211188565,
2023,38,211188565,
2023,41,221984260,
2023,38,221984260,
2023,3,221984261,
2023,41,201089309,
2023,41,199190193,
2023,38,201089343,
2023,39,201089343,
2023,1,199190331,
2023,41,201088910,
2023,3,201088976,
2023,41,199190279,
2023,3,215735887,
2023,41,204595478,
2023,39,204595478,
2023,41,199190442,
2023,41,201089376,
2023,3,199190564,
2023,41,204595203,
2023,41,199190476,
2023,1,199190616,
2023,42,199190501,
2023,41,199190531,
2023,41,201088879,
2023,41,199190622,
2023,41,199190667,
2023,41,207206970,
2023,38,207206970,
2023,41,201088955,
2023,21,199215276,
2023,41,199215155,
2023,7,209503952,
2023,42,209503984,
2023,42,201118572,
2023,1,203120192,
2023,42,203120519,
2023,41,203119898,
2023,41,209504021,
2023,42,209504053,
2023,41,203120182,
2023,42,211229171,
2023,42,211229018,
2023,42,203120093,
2023,41,203120027,
2023,41,211228891,
2023,42,211229050,
2023,41,211229104,
2023,4,203120375,
2023,41,203121256,
2023,1,203120158,
2023,41,203120542,
2023,42,203120574,
2023,41,203121018,
2023,3,209503969,
2023,41,203120294,
2023,41,203120266,
2023,41,203120869,
2023,41,203120281,
2023,2,203120303,
2023,42,222031574,
2023,39,203120292,
2023,42,203120308,
2023,38,203120349,
2023,41,204624655,
2023,42,203120796,
2023,41,204624547,
2023,39,204624827,
2023,42,213215931,
2023,41,204624505,
2023,41,204624928,
2023,41,204624991,
2023,39,204625003,
2023,41,204625298,
2023,41,209503986,
2023,42,209504018,
2023,41,209503976,
2023,42,209504020,
2023,21,209504094,
2023,38,204624589,
2023,41,204624849,
2023,42,204624616,
2023,42,201118852,
2023,41,209504023,
2023,42,204624721,
2023,41,204624663,
2023,42,204624749,
2023,41,204624873,
2023,41,209504161,
2023,41,204625058,
2023,39,204624980,
2023,42,204624751,
2023,41,204624786,
2023,41,209504007,
2023,41,204624843,
2023,3,204624970,
2023,41,222031518,
2023,42,204624869,
2023,42,211228907,
2023,41,209504165,
2023,39,209504072,
2023,41,209504105,
2023,42,203120587,
2023,41,209504155,
2023,41,203120686,
2023,42,203120745,
2023,1,206132984,
2023,42,203120603,
2023,41,209504123,
2023,41,203120681,
2023,41,223616538,
2023,42,204625089,
2023,41,204625187,
2023,39,204625261,
2023,3,223616602,
2023,39,207233771,
2023,41,204625161,
2023,41,204625174,
2023,38,204625191,
2023,3,209504330,
2023,42,204625154,
