data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,2,177294778,26.310,1,16728107
2023,2,177295007,0.500,1,16728124
2023,12,180941467,1.000,3,17236924
2023,2,179040481,2.000,1,16970140
2023,12,179040738,2.000,1,16970180
2023,12,180941414,3.000,1,17236917
2023,17,179040616,3.000,9,16970166
2023,2,179040866,0.010,1,16970192
2023,17,179040968,1.000,9,16970199
2023,1,180941708,1.000,3,17236946
2023,1,172881644,0.500,1,16148895
2023,8,166765042,1.000,1,15268420
2023,12,171580833,1.000,1,15961509
2023,8,171580850,86.000,1,15961510
2023,12,171580850,1334.400,1,15961511
2023,17,172881473,0.100,1,16148872
2023,8,171580912,140.000,9,15961523
2023,16,171580912,100.000,9,15961524
2023,8,172881540,4.200,1,16148881
2023,12,176238764,226.796,4,16587929
2023,1,180960265,26.500,1,17239921
2023,1,179058489,17.800,1,16973137
2023,12,179058274,7.100,1,16973079
2023,12,179058307,14.900,1,16973085
2023,2,169018934,1000.000,2,15592395
2023,8,180960193,1.000,1,17239905
2023,12,180960193,9.000,1,17239906
2023,12,180960217,7.550,1,17239911
2023,2,180960249,0.950,3,17239915
2023,4,165255536,0.200,1,15041099
2023,12,166765052,10.000,1,15268429
2023,12,169856863,401.900,1,15726281
2023,2,176238650,35.000,1,16587907
2023,8,176238650,61.300,1,16587908
2023,12,169019405,2476.776,4,15592600
2023,12,171581074,5.000,1,15961560
2023,12,169018913,1943.000,1,15592385
2023,12,169856904,1249.100,1,15726291
2023,5,163800348,1.000,11,14848426
2023,12,163800384,3.700,1,14848432
2023,13,163800394,1.400,1,14848436
2023,13,163800375,0.500,1,14848430
2023,13,163800386,729.880,1,14848433
2023,17,163800386,4.250,1,14848434
2023,8,169020277,40.290,1,15592797
2023,13,163800429,12.000,1,14848437
2023,5,165257469,1.000,11,15041367
2023,13,165257495,9.450,1,15041369
2023,5,165257583,0.100,1,15041380
2023,5,165257758,509.500,1,15041409
